MAE,Dataset
0.060149999999999995,1043_ada_agnostic.csv
0.17170000000000002,1460_banana.csv
0.0083,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.0942,1475_first-order-theorem-proving.csv
0.09945,1479_hill-valley.csv
0.1593,1485_madelon.csv
0.066,1489_phoneme.csv
0.06480000000000001,1494_qsar-biodeg.csv
0.0518,1496_ringnorm.csv
0.06185,1497_wall-robot-navigation.csv
0.00395,1504_steel-plates-fault.csv
0.01085,1507_twonorm.csv
0.0743,1526_wall-robot-navigation.csv
0.04125,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.0605,1540_volcanoes-d3.csv
0.08045,1541_volcanoes-d4.csv
0.12895,1566_hill-valley.csv
0.011699999999999999,182_satimage.csv
0.10975,23_cmc.csv
0.01705,28_optdigits.csv
0.01385,294_satellite_image.csv
0.04605000000000001,30_page-blocks.csv
0.0313,312_scene.csv
0.01255,375_JapaneseVowels.csv
0.01695,40474_thyroid-allbp.csv
0.0713,40475_thyroid-allhyper.csv
0.07780000000000001,40733_yeast.csv
0.09625,44_spambase.csv
0.025,4538_GesturePhaseSegmentationProcessed.csv
0.12365,60_waveform-5000.csv
0.03085,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.04875,AedesSex.csv
0.01145,anuranCalls.csv
0.00875,ArabicDigit.csv
0.01145,BNG.csv
0.01155,click-prediction.csv
0.4728,cmc.csv
0.4533,covtype_reduced.csv
0.01925,default_credit_card_clients.csv
0.0528,eeg.csv
0.0507,HTRU.csv
0.032400000000000005,jm1-processed.csv
0.01965,letter-recognition.csv
0.0386,magic.csv
0.02105,mozilla.csv
0.052199999999999996,namao.csv
0.00045,occupancy.csv
0.14565,phoneme.csv
0.10619999999999999,spambase.csv
0.0696,winetype.csv
0.02415,2dplanes.csv
0.08165000000000001,balloon.csv
0.024,bank8FM.csv
0.22215,churn.csv
0.06344999999999999,clean2.csv
0.0356,cpu_act.csv
0.00895,delta_ailerons.csv
0.06215,electricity-normalized.csv
0.0388,elevators.csv
0.04755,file79b563a1a18.csv
0.04,fried.csv
0.03335,fri_c2_1000_10.csv
0.014950000000000001,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.11359999999999999,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.01735,gina_agnostic.csv
0.06355000000000001,kin8nm.csv
0.10975,parity5_plus_5.csv
0.0591,pendigits.csv
0.0432,phpGUrE90.csv
0.0197,phphQEck0.csv
0.008,phpMD2hR6.csv
0.0333,phpmPOD5A.csv
0.35369999999999996,phpV5QYya.csv
0.0060999999999999995,pol.csv
0.06355000000000001,pollen.csv
0.0079,puma32H.csv
0.09185,puma8NH.csv
0.0417,quake.csv
0.027549999999999998,space_ga.csv
0.0518,sylva_prior.csv
0.0147,visualizing_soil.csv
0.2354,wind.csv
0.5,abalone.csv
0.1504,ailerons.csv
0.0114,BNG_breast-w.csv
0.0333,file22f0e4a679.csv
0.43310000000000004,file7b5365fa741c.csv
0.12240000000000001,houses.csv
0.05115,kdd_JapaneseVowels.csv
0.45695,MagicTelescope.csv
0.04335,page-blocks.csv
0.025150000000000002,php50jXam.csv
0.00525,phplE7q6h.csv
0.0025,phpWfYmlu.csv
0.0431,phpwRjVjk.csv
0.0054,phpxijhaP.csv
